n,original,reconstructed,freq
0,125,5.133514474909389,17.93
1,125,5.672436339780004,17.93
2,125,6.187675999635689,17.93
3,125,6.676671748602278,17.93
4,126,7.136950802565101,17.93
5,125,7.566137970389822,17.93
6,125,7.961964025618668,17.93
7,125,8.322273752814324,17.93
8,125,8.645033643667116,17.93
9,125,8.928339218996053,17.93
10,125,9.17042195385937,17.93
11,126,9.369655784139526,17.93
12,125,9.52456317418218,17.93
13,125,9.633820726339938,17.93
14,125,9.69626431460145,17.93
15,125,9.710893725866267,17.93
16,126,9.676876793855579,17.93
17,125,9.59355301212172,17.93
18,125,9.460436614133496,17.93
19,125,9.277219109963518,17.93
20,125,9.04377127068517,17.93
21,126,8.760144553194957,17.93
22,125,8.426571959807653,17.93
23,303,8.0434683286202,17.93
24,306,7.611430052304029,17.93
25,306,7.13123422465616,17.93
26,306,6.603837215916292,17.93
27,305,6.030372679531613,17.93
28,306,5.412148994721899,17.93
29,306,4.750646150857016,17.93
30,306,4.04751208130505,17.93
31,305,3.3045584560356605,17.93
32,306,2.5237559438652046,17.93
33,134,1.7072289568053869,17.93
34,133,0.8572498905178121,17.93
35,133,-0.0237671236184251,17.93
36,133,-0.9332729378563623,17.93
37,133,-1.8685905604608317,17.93
38,134,-2.82692276136321,17.93
39,134,-3.8053600900226736,17.93
40,133,-4.80088928316745,17.93
41,133,-5.810402038895001,17.93
42,133,-6.830704132476957,17.93
43,133,-7.858524848151821,17.93
44,133,-8.890526700193917,17.93
45,133,-9.92331541562838,17.93
46,133,-10.953450150117622,17.93
47,134,-11.977453907780529,17.93
48,133,-12.991824135021563,17.93
49,134,-13.993043457846683,17.93
50,133,-14.977590531627365,17.93
51,134,-15.941950971844765,17.93
52,20,-16.882628334005002,17.93
53,19,-17.796155110664547,17.93
54,19,-18.67910371334241,17.93
55,19,-19.52809740702433,17.93
56,20,-20.339821164983324,17.93
57,19,-21.111032411751577,17.93
58,19,-21.838571622280206,17.93
59,18,-22.51937274561505,17.93
60,19,-23.15047342179939,17.93
61,19,-23.72902496118504,17.93
62,20,-24.25230205589327,17.93
63,19,-24.71771219381263,17.93
64,19,-25.12280474625201,17.93
65,19,-25.465279701181906,17.93
66,18,-25.7429960148925,17.93
67,19,-25.95397955587202,17.93
68,19,-26.09643061575994,17.93
69,19,-26.168730963354527,17.93
70,19,-26.169450418850527,17.93
71,19,-26.097352926745625,17.93
72,19,-25.951402107182876,17.93
73,19,-25.73076626688505,17.93
74,19,-25.43482285228263,17.93
75,19,-25.063162328937416,17.93
76,19,-24.615591472912143,17.93
77,19,-24.092136061330596,17.93
78,20,-23.49304295100917,17.93
79,19,-22.81878153571107,17.93
80,20,-22.070044574280143,17.93
81,20,-21.24774838364169,17.93
82,19,-20.3530323924132,17.93
83,19,-19.387258052639645,17.93
84,18,-18.35200710895514,17.93
85,19,-17.24907922626627,17.93
86,19,-16.080488978850674,17.93
87,133,-14.84846220556205,17.93
88,133,-13.555431737621905,17.93
89,133,-12.204032507258457,17.93
90,134,-10.797096047216337,17.93
91,133,-9.337644392902419,17.93
92,134,-7.828883400650452,17.93
93,133,-6.2741954972721,17.93
94,133,-4.677131877713642,17.93
95,133,-3.0414041692479126,17.93
96,133,-1.3708755821977199,17.93
97,132,0.3304484312951487,17.93
98,133,2.058429987476605,17.93
99,304,3.8088090257765916,17.93
100,304,5.577213982462174,17.93
101,303,7.359172856134081,17.93
102,304,9.150124636840037,17.93
103,303,10.945431069439238,17.93
104,303,12.740388720785976,17.93
105,303,14.53024131931692,17.93
106,303,16.310192334720128,17.93
107,303,18.07541776454588,17.93
108,303,19.821079093885434,17.93
109,303,21.542336393600717,17.93
110,302,23.234361522035584,17.93
111,303,24.892351394679075,17.93
112,302,26.51154128588729,17.93
113,302,28.087218126500566,17.93
114,301,29.614733761021206,17.93
115,302,31.089518127942316,17.93
116,301,32.5070923268423,17.93
117,125,33.86308153598201,17.93
118,125,35.15322774436293,17.93
119,125,36.37340226252309,17.93
120,125,37.51961797676588,17.93
121,124,38.58804131202969,17.93
122,125,39.575003869217284,17.93
123,125,40.47701370350815,17.93
124,125,41.29076621097484,17.93
125,125,42.01315459171373,17.93
126,125,42.64127985867866,17.93
127,125,43.17246036247146,17.93
128,124,43.604240803493106,17.93
129,124,43.93440070409007,17.93
130,125,44.160962314641544,17.93
131,125,44.28219792891673,17.93
132,125,44.296636585490894,17.93
133,125,44.20307013353278,17.93
134,125,44.000558642867155,17.93
135,126,43.68843513986662,17.93
136,125,43.26630965243432,17.93
137,125,42.73407254909759,17.93
138,125,42.09189715903974,17.93
139,125,41.34024166174656,17.93
140,125,40.47985023683163,17.93
141,125,39.51175346652496,17.93
142,125,38.43726798525999,17.93
143,125,37.25799537276395,17.93
144,125,35.97582028904949,17.93
145,305,34.592907851707125,17.93
146,304,33.11170025790866,17.93
147,304,31.53491265554637,17.93
148,304,29.86552826994082,17.93
149,304,28.106792794553723,17.93
150,304,26.262208056128404,17.93
151,304,24.33552496665138,17.93
152,304,22.33073577647173,17.93
153,304,20.252065644831173,17.93
154,304,18.103963545937972,17.93
155,304,15.891092530559215,17.93
156,304,13.618319364901582,17.93
157,304,11.29070357029819,17.93
158,304,8.913485888910294,17.93
159,304,6.492076202286834,17.93
160,304,4.03204093119406,17.93
161,132,1.5390899466287034,17.93
162,131,-0.9809369766413099,17.93
163,132,-3.522084131311858,17.93
164,132,-6.078294239582465,17.93
165,133,-8.64342317084093,17.93
166,132,-11.211254978728936,17.93
167,132,-13.77551722031271,17.93
168,132,-16.32989651916311,17.93
169,132,-18.868054333325993,17.93
170,133,-21.383642888439077,17.93
171,133,-23.870321235626335,17.93
172,132,-26.32177139328034,17.93
173,132,-28.73171453142541,17.93
174,19,-31.093927157043094,17.93
175,20,-33.40225725853802,17.93
176,19,-35.650640367425716,17.93
177,19,-37.83311549533699,17.93
178,19,-39.943840904555465,17.93
179,20,-41.97710967053546,17.93
180,19,-43.92736499518798,17.93
181,19,-45.78921523017025,17.93
182,19,-47.55744856997132,17.93
183,19,-49.2270473752483,17.93
184,20,-50.79320208763618,17.93
185,20,-52.25132469812616,17.93
186,19,-53.5970617320808,17.93
187,20,-54.826306715027755,17.93
188,19,-55.93521208454453,17.93
189,19,-56.92020051481116,17.93
190,20,-57.77797562176558,17.93
191,18,-58.505532018239975,17.93
192,19,-59.100164689988624,17.93
193,20,-59.55947766512692,17.93
194,19,-59.88139195119242,17.93
195,19,-60.06415271579957,17.93
196,19,-60.10633568869228,17.93
197,19,-60.006852764893814,17.93
198,20,-59.764956790610285,17.93
199,20,-59.38024551555459,17.93
200,19,-58.852664697419435,17.93
201,20,-58.18251034633367,17.93
202,19,-57.370430099283276,17.93
203,19,-56.41742371665727,17.93
204,19,-55.32484269528919,17.93
205,20,-54.09438899459666,17.93
206,19,-52.728112874671076,17.93
207,19,-51.228409847432395,17.93
208,19,-49.59801674423089,17.93
209,134,-47.840006905546524,17.93
210,133,-45.95778450069864,17.93
211,133,-43.95507798773085,17.93
212,133,-41.83593272586876,17.93
213,133,-39.60470275516045,17.93
214,133,-37.26604176009093,17.93
215,134,-34.82489323610994,17.93
216,133,-32.286479880120616,17.93
217,132,-29.65629222803781,17.93
218,133,-26.94007656453644,17.93
219,133,-24.143822132065207,17.93
220,133,-21.273747668093236,17.93
221,133,-18.33628730138415,17.93
222,133,-15.338075839847496,17.93
223,133,-12.285933484194848,17.93
224,133,-9.186850003227097,17.93
225,133,-6.047968408090868,17.93
226,133,-2.876568164266568,17.93
227,132,0.31995201862093137,17.93
228,304,3.534091777842977,17.93
229,304,6.758267027002288,17.93
230,304,9.984828180375867,17.93
231,304,13.206078627756336,17.93
232,304,16.414293414570285,17.93
233,304,19.601738081350305,17.93
234,303,22.76068761605037,17.93
235,303,25.883445472222654,17.93
236,304,28.962362605720358,17.93
237,304,31.98985648235467,17.93
238,303,34.95843000881973,17.93
239,125,37.86069033920292,17.93
240,125,40.68936750952371,17.93
241,124,43.43733285299078,17.93
242,125,46.09761714903334,17.93
243,125,48.663428459650255,17.93
244,125,51.12816960722553,17.93
245,125,53.48545524868407,17.93
246,125,55.729128501701204,17.93
247,125,57.85327707963586,17.93
248,125,59.852248892924884,17.93
249,124,61.7206670758549,17.93
250,125,63.45344439891516,17.93
251,125,65.045797028325,17.93
252,126,66.49325759582392,17.93
253,125,67.79168754340223,17.93
254,125,68.93728870933717,17.93
255,126,69.92661412367461,17.93
256,125,70.75657798316,17.93
257,125,71.42446477756562,17.93
258,125,71.92793754138387,17.93
259,125,72.26504520694978,17.93
